selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,5.99,0.09,Yoga Basic Seamless Crisscross Back Sports Bra,1,in Seamless Women Sports Bras,10
,11.63,0.25,Unisex Beach Shoes  Water Shoes  Fitness Shoes  Five Finger Swimming Shoes  Outdoor Wading Shoes For Couples,7,in Women Water Shoes,
9300,10.28,0.15,SHEIN EZwear Women s Hooded Sweatshirt With Letter Print And Drawstring Closure  Fleece Lined,,,7
,14.99,0.25,SHEIN Sport Easify Women s Summer Striped Zipper Sports Jumpsuit And Lightweight Sports Shorts  pcs Outfit,7,in Women Active Dresses,
100,19.99,0.07,SHEIN Sport Gameset Plus Size Women s Simple Solid Color Sleeveless Vest  pcs Set,,,
400,6.29,0.25,Yoga Trendy Ombre Raglan Sleeve Curved Hem Sports Tee,,,6
1100,8.55,0.31,SHEIN Yoga Basic   in   Sports Leggings With Cellphone Pocket,,,7
,6.34,0.31,Yoga Basic Camo Print Sports Tank Top,4,in Camo Women Active Tops,5
,5.23,0.05,Outdoor Handheld Gatling Bubble Gun  One Click Release  Multi Hole Rocket Launcher Bubble Blower  Battery And Bubble Water Not Included  Pool Toys Suitable For Pool Games Pool Party,5,in Outdoor Games,
2000,10.49,0.3,SHEIN Sport Gameset Plus   In   Sports Skort With Phone Pocket,,,
100,27.59,0,TELALEO   Pack Workout Tank Tops For Women Sleeveless Athletic Yoga Gym Tank Tops Quick Dry Loose Fit Sports Shirts,,,
2500,15.67,0.25,SHEIN Daily Casual Women s Three Piece Sportswear Set,,,
6700,10.64,0.25,VUTRU Women s Slim Fit Athletic Jacket With Thumbholes Compression Shirt,,,15
700,8.49,0.43,SHEIN Daily Casual  pcs Solid Crop Sports Bra,,,9
2200,7.57,0.25,SHEIN Sport Gameset Solid Pleated Sports Skort,,,
900,14.55,0.31,SHEIN Sport Gameset Plus Size Women Summer Solid Color Casual Round Neck Sporty Tank Top   Piece Set,,,
40,1.9,0.05,pcs Set Black And White Portable Mini Clear Zipper Key Pouch Keychain  Compact Multi Function Storage Bag  Earphone And Charger Case With Keychain  Transparent Travel Accessory,,,
400,6.11,0.47,Piece Adult Pool Floating Chair Pool Float Boat Inflatable Floating Row Backrest Foldable Chair Portable Lounge Chair Floating Bed Multifunctional Water Hammock Pool Float Boat,,,
1100,8.55,0.31,SHEIN Yoga Basic   in   Sports Leggings With Cellphone Pocket,,,7
,6.34,0.31,Yoga Basic Camo Print Sports Tank Top,4,in Camo Women Active Tops,5
,5.23,0.05,Outdoor Handheld Gatling Bubble Gun  One Click Release  Multi Hole Rocket Launcher Bubble Blower  Battery And Bubble Water Not Included  Pool Toys Suitable For Pool Games Pool Party,5,in Outdoor Games,
,10.49,0.3,SHEIN Sport Gameset Plus   In   Sports Skort With Phone Pocket,3,in Plain Plus Size Sports Skirts & Skorts,
