selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
300,14.29,0.07,"SHEIN X Care Bears Plus Size Summer Loose Fit Sleep Dress With Colorful Stars, Bear & Dreamy Printed Pattern, Wide Shoulder, And Energetic Pink-Blue Contrast Color",,,
,5.82,0.45,Plus Size Homewear Heart Print Round Neck Short Sleeve T-Shirt And Shorts Pajamas Set,3,in White Plus Size Pajama Sets,7
1100,3.29,0.08,"1 Pc Sexy Lips Print Men's Underwear, Comfortable And BreathableElastic Boxer Shorts, Valentine's Day, Ultra-Thin Running Sports FitnessBoxer Trunks",,,
,12.19,0,Plus Size Pink & White Striped Print Silk-Like Short Sleeve Pajamas Set,9,in Pink Plus Size Pajama Sets,
2800,12.69,0.07,Plus Crisscross Back Tank Top & Shorts PJ Set,,,
8400,7.69,0,5pack Plain Simple Panty,,,
,3.33,0.39,Plus Pineapple Print Lettuce Trim Cami Nightdress,8,in Pink Plus Size Nightgowns & Sleepshirts,5
,3.5,0.48,Plus Size Cute Panda Printed Short Sleeve Nightgown,5,in Women's Curve Cute Sleepwear,
90,5.07,0.22,Cute Kitten Summer Pajamas 2pcs/Set,,,5
200,10.53,0.25,SHEIN SilkySpell Women's Long Sleeve Contrast Lace Robe And Cami Slip Nightgown Sleepwear Set,,,8
,10,0.14,"6pairs Women's Random Color Fashionable Bubble Pile Socks, Comfortable, Breathable, Classic, European Style, Knee-high, Casual scrunch socks",2,in Best-selling thigh-high socks,
,2.79,0,"Women's High Waist Triangle Panties, Soft, Comfortable, Crisscross Design",1,in Black Women Briefs,
3900,9.49,0,Contrast Lace Ruffle Hem Night Dress,,,
,3.89,0.07,2 Pairs Plus Size Underwear Accessories Anti-Slip And Lifting Breast Adhesive Pasties,1,in Black Plus Size Lingerie Accessories,10
1200,7.99,0.16,Plus Heart Print Cami Nightdress,,,
1600,4.81,0.22,Plus Marble Print Tank Nightdress,,,
,8.49,0.07,Plus Size Sexy Lace Splice Slit Hem Cami Dress,6,in Burgundy Plus Size Nightgowns & Sleepshirts,4
,6.19,0,Plus Letter Graphic Racerback Nightdress,8,in Black Plus Size Nightgowns & Sleepshirts,
200,3.57,0.42,SHEIN Classic Sexy Women's Sexy Lingerie,,,
200,5.1,0.4,Plus Size Women Simple Casual Leopard Print Sleeveless Dress For Daily Wear,,,
800,4.37,0.29,Dinosaur Print Cami Top & Shorts Sleepwear Set,,,
5500,8.04,0.03,Floral Print Bow Front PJ Set,,,8
500,8.29,0,Plus Size Letter & Heart Print Short Sleeve T-Shirt And Shorts Pajama Set,,,
,11.39,0,Plus Contrast Piping Satin PJ Set,4,in Pink Plus Size Pajama Sets,
50,8.49,0.21,Cute Cartoon Printed Short Sleeve And Shorts Homewear Set,,,
,4.7,0.15,9pairs Men Solid Invisible Socks,7,in Men Invisible Socks,5
,4.03,0.45,Plus Slogan Graphic Nightdress,6,in Black Plus Size Nightgowns & Sleepshirts,
300,12.79,0.07,THE POWERPUFF GIRLS X SHEIN Plus Cartoon And Letter Graphic Drop Shoulder Nightdress,,,
,5.33,0.14,"Women Silver Coated PU 3 Rows 10 Buckle Cincher Gym Workout Sweat Enhancing Shorts With Ion Technology, High Waist Compression Yoga Squat-Proof Tummy Control Fitness Pants Shapewear Shorts",,,
4200,3.11,0.22,Women's Heart Pattern Sleepwear Cami Romper Set,,,
,7.59,0.07,SHEIN Classic Sexy Plus Size Lace Sexy Lingerie,2,in Black Plus Size Sexy Lingerie,
900,4.96,0.25,Plus Star Print Nightdress,,,
1100,5.82,0.31,Women's Printed English Words Pajamas Set,,,
1500,7.36,0.15,Plus Heart Print PJ Set,,,
3900,13.91,0.2,Plus Tie-Dye Wash Tee & Ruffled Shorts PJ Set,,,
300,6.49,0,"Women's Animal Printed Round Neck Short Sleeved T-Shirt And Shorts Pajama Set, Suitable For Summer",,,
1000,4.63,0.37,Plus Heart & Letter Graphic Ruffle Hem Cami Nightdress With Eye Mask,,,5
,7.29,0,Cherry Print Lettuce Trim Cami Top & Shorts PJ Set,7,in Women's white sleepwear,4
100,6.4,0.2,"6 Pairs Men's And Women's Breathable Half Terry Sports Socks With Cushioning, Crew-Length",,,
700,0.96,0.4,"2pairs Women Solid Casual Fishnet Crew Socks, For Daily Life",,,
,7.09,0.07,Plus Size Lingerie For Women Sexy Lingerie Bodysuit One-Piece Teddy,10,in Black Plus Size Sexy Lingerie,7
,5.79,0,Shein LuxeNights Floral Print Cami Top & Shorts PJ Set,3,in Royal Blue Women Pajama Sets,6
,8.99,0.1,Plus Heart Print PJ Set,10,in Plus Size Pajama Sets,9
,6.4,0.14,3pairs Women's Fall Winter Slouch Knit Socks Slouchy Socks Women Scrunch Socks Women Scrunchie Socks women crew socks,2,in Sexy lace socks,8
3500,6.39,0.1,"NONE SMELL Women Hook Waist Trainer Corset High Waist Sauna Sweat Shorts Yoga Shorts Fat Burn Tummy Control Workout Fitness Gym Sweat Shorts, Sports",,,
1400,6.39,0,Sleeveless Sleep Dress With Simple English Print And Round Neckline,,,
1300,6.13,0.26,Plus Slogan Graphic Cami Nightdress,,,
1100,9.79,0,Women's Plus Size Pajama Pants Set,,,11
500,7.29,0,Cartoon And Avocado Print Pajama Set,,,
,4.22,0.42,Plus Size Cat Print T-Shirt Dress For Sleepwear,8,in Women's Curve Cute Sleepwear,
500,14.79,0.08,SHEIN X Care Bears Plus Cartoon Graphic Tee & Shorts PJ Set,,,
,7.19,0.15,Shein FloralLove Printed Mesh Back Cross Strap Sexy Women's Sleepwear Set With G-String,,,
,14.99,0.07,"Women's Contrast Color Fine-Edged Split Design Short Sleeve & Long Pants Homewear Set, Decorated With Bowknot And Jacquard",,,
10,4.29,0.09,Women Plus Size Sexy Lingerie Bodycon Dress Long Sleeve Cut Out Fashion Nightdress Bikini Cover Up,,,
600,10.29,0.07,"Plus Size Simple Casual Set, Women's Oversized Eye And Slogan Printed Short Sleeve Round Neck Relaxed Fit T-Shirt And Shorts Home Outfit 2pcs/Set",,,
4900,8.35,0.05,Plus Striped Print Drop Shoulder Tee & Shorts PJ Set,,,
