selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
900,7.43,0.2,Men's Casual Round Neck Letter And Eye Patterned Commute T-Shirt,,,
,13.2,0.17,Manfinity LEGND Men Cartoon Graphic Tee & Drawstring Waist Shorts,4,in Black Men T-Shirt Co-ords,
,14.99,0.12,Nearly There South Korea Solo Cups Mens Graphic Cotton Tank Top,,,
,14.69,0.13,Manfinity Homme Men's Digital Print Short Sleeve And Shorts Two Piece Set,3,in Men T-Shirt Co-ords,11
5200,8.79,0.13,Manfinity LEGND Men Tie Dye Letter Graphic Tee,,,9
3700,9.79,0.13,Manfinity Homme Men Solid Polo Shirt,,,10
2600,8.99,0.12,Manfinity Homme Loose Fit Men's White Knitted Round Neck Short Sleeve T-Shirt,,,
,15.59,0.14,"ROMWE Street Life Men'S High Street Vintage Acid Washed Round Neck T-Shirt With Distressed Snowflakes Print, Suitable For Casual Wear In Spring And Summer",9,in Black Men Tops,6
,20,0,Dem Boys Dallas  Mens T-Shirt,,,15
3000,8.59,0.13,Manfinity Hypemode Men Expression Print Drop Shoulder Tee,,,20
80,7.43,0.2,Men's Summer Casual Short Sleeve T-Shirt With Slogan Printed And Round Neck,,,7
1700,10.99,0.13,Manfinity Homme Men Geo Print Quarter Zip Polo Shirt,,,
600,10.89,0.14,Manfinity Homme Men Color Block Quarter Zip Polo Shirt,,,5
6200,14.79,0.07,Manfinity Homme Loose Men's Solid Color Half Button Shirt,,,8
,21,0,SunDEY FunDEY Sunday Funday Mens T-Shirt,,,15
10000,17.89,0.07,Manfinity RSRT Men Tropical Print Shirt & Drawstring Waist Shorts Without Tee,,,4
,19.39,0.07,Manfinity LEGND Men Ripped Pocket Patched Denim Shirt Without Tee,4,in Short Sleeve Men Denim,6
1000,7.67,0.57,Manfinity Homme Men Ribbed Knit Tee & Drawstring Waist Shorts,,,6
,21.97,0.07,ROMWE Street Life Men's Frayed Hem Denim Shorts With Pockets,1,in Loose Men Denim,6
2200,11.09,0.12,Manfinity Hypemode Loose Fit Men's Embossed Drop Shoulder T-Shirt,,,9
100,11.95,0.2,Manfinity Homme Loose-Fit Men's Sweatpants With Patch And Drawstring Waist Detail,,,4
,21.09,0.13,Manfinity Homme Men Cotton Ripped Frayed Cat Scratch Skinny Jeans,9,in Pocket Men Jeans,6
,8.89,0.14,Manfinity RSRT Men Drawstring Waist Paisley Print Shorts,4,in Boho Men Shorts,7
4100,11.19,0.13,"ROMWE Street Life Men's Character Printed Short Sleeve Y2k T-Shirt, Suitable For Daily Wear In Spring And Summer",,,
2600,12.29,0.12,Manfinity Homme Men Half Zip Polo Shirts,,,16
1600,7.79,0.12,Manfinity Chillmode Men Embroidery Coconut Tree Top,,,12
,22,0,Dat Strong New Orleans   Mens T-Shirt,,,15
2500,8.19,0.13,Manfinity Homme Men Solid Drawstring Waist Shorts,,,8
2200,18.21,0.14,Manfinity Homme Men Solid Skinny Jeans,,,5
2200,9.99,0.12,Manfinity Hypemode Men T-Shirts Fit Crew Neck Short Sleeve Graphic Tee Casual Simple Summer,,,12
200,18.69,0.27,Men's Letter Print Drawstring Hoodie And Sweatpants Set,,,
8300,8.19,0.12,Manfinity RSRT Men T-Shirts Fit Crew Neck Short Sleeve Graphic Tee Casual Dad Summer Polyester,,,13
,19,0,Michelangelo's David With Bubble Gum Contemporary Statue Art Mens T-Shirt,,,18
2500,9.49,0.13,"Manfinity EMRG A White Street Style Top With Full Black And White Mouth Pattern, Suitable For Summer Men's T-Shirt.",,,6
,24.09,0.13,Manfinity Men Cotton Flap Pocket Zipper Fly Jeans,5,in Men Jeans,
400,4.75,0.53,"Manfinity Homme Men's Contrast Color Splicing Striped Edging Short Sleeve T-Shirt, Suitable For Summer Casual Wear",,,10
6200,7.22,0.25,Men's Short Sleeve T-Shirt Printed With Letter Pattern,,,4
7800,18.33,0.11,Manfinity RSRT Men Tropical Print Shirt & Drawstring Waist Shorts Set,,,7
,20,0,Activated Beast Mode Workout Gym Clothing Mens T-Shirt,,,15
,14.79,0.07,Manfinity Homme Men's Loose-Fit Casual Pants With Flap Pockets,8,in Men Pants,4
100,5.15,0.41,Men Zip Pocket Side Shorts,,,
1200,14.79,0.07,Manfinity Homme Loose Fit Men's Cargo Pants With Flap Pockets And Drawstring Waist,,,11
2400,11.59,0.07,Manfinity RSRT Men Floral Print Shirt Without Tee,,,
4500,9.09,0.07,Men Summer Short Sleeve Tropical Print Shirt,,,9
,20,0,I'm Just A Girl Guts Music Mens T-Shirt,,,18
1900,4.76,0.49,Manfinity Homme Men Playing Card Print Tee,,,5
600,10.39,0.13,Manfinity Homme Men Solid Color Pocketed Casual Simple Shorts,,,6
,11.29,0.14,Manfinity EMRG Men's Summer Casual Short Sleeve T-Shirt With Letter & Car Print,6,in Polyester Men T-Shirts,
,9.87,0.18,Manfinity Homme Men's Contrast Color Polo Shirt,9,in Striped Men Polo Shirts,13
,23.65,0.11,Manfinity Homme Men's Solid Color Textured Short Sleeve Shirt And Shorts Set For Spring And Summer,9,in White Men Co-ords,
900,7.51,0.2,Men Round Neck Letter Printed Casual Commuting T-Shirt,,,7
800,7.09,0.13,Manfinity LEGND Men's Round Neck Color Block Splicing T-Shirt,,,5
,15.29,0.14,Manfinity EMRG Men Graphic Pattern Sweater,2,in Fabric Men Knitwear,14
,16.79,0.13,SHEIN X Breakaway Manfinity EMRG Men Car & Letter Graphic Tee & Drawstring Waist Shorts,1,in Purple Men Co-ords,5
400,13.41,0.25,Men Tie-Dye Daily Casual Spring & Summer Short Sleeved Shirt And Shorts Holiday Outfit Set,,,
7100,7.99,0.13,Manfinity LEGND Men's Flag And Eagle Printed Round Neck Short Sleeve T-Shirt,,,7
,24.99,0.07,Nearly There Breaker Of The Rules Father'S Day Mens Graphic Cotton Tank Top,,,
600,16.09,0.15,Manfinity Homme Men's Pure-Color Round Neck Rib-Knit Leisure Short-Sleeved T-Shirt,,,8
,15.76,0.17,Manfinity Homme Men Contrast Tape Tee With Drawstring Waist Shorts,3,in Khaki Men T-Shirt Co-ords,8
4200,14.39,0.14,SHEIN Manfinity Homme Men's Elastic Waist Straight Shorts Crochet Board Nylon Cool Yee Haw Plain All White Vacation Sexy Husband,,,6
,7.25,0.43,Manfinity Men Plus Lion Print Tee,9,in Blue Men Plus Size T-Shirts,
1300,8.69,0.06,Men Fashionable Casual Printed Round Neck T-Shirt For Leisure And Commute,,,5
,21,0,Straight Outta Rams Nation  Mens T-Shirt,,,15
1000,5.15,0.35,Manfinity Sporsity Men Striped & Letter Graphic Tee,,,5
,11.39,0.13,Manfinity Homme Men Quarter Zipper Polo Shirt,9,in Black Men Polo Shirts,12
,24.09,0.07,Manfinity Homme Men's Plain Short Sleeve Shirt And Shorts Set,8,in White Men Shirt Co-ords,11
,10.29,0.11,ROMWE Street Life Men Cartoon & Slogan Graphic Drop Shoulder Tee,4,in Khaki Men Tops,6
1600,6.15,0.35,Men Building & Slogan Graphic Tee,,,4
