selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
20,0.8,0.5,"1pc Self-Cut Shoe Insoles, DIY Customizable, Dual-Use, Mesh Design, Moisture-Wicking, Breathable Insoles For All Seasons",,,
,11,0.17,Women's Blue Fashion Foreign Trade Large Size Breathable Slip-On Comfortable Flat Shoes,1,In Blue Women Flats,16
,34.2,0.21,Women's Candy-colored Thick-soled Personality Couple Sneakers With Wide Straps,5,In Red Women Sneakers,4
,1.9,0.3,Sandal Insoles For Women Anti-Slip Foot Pad Sweat-Absorbing Deodorant High-Heeled Shoes Sole Stickers Seven-Point Pad Soft Sole,10,in Shoe Spare Parts,
80,6.56,0.52,"Women\ Autumn Lace-Up Sports Shoes, Fashionable, Versatile, Comfortable And Soft White Shoes, Suitable For Outdoor Running And Walking.",,,
5300,9.8,0.21,"Elegant White Sandals For Women, Minimalist Single Band Slide Sandals",,,11
,8.53,0.61,"New Summer Clear High Heels Transparent Crystal Sandals Women's Slipper, Versatile, Comfortable, Sexy And Elegant",4,In Clear Women Sandals,
200,1.36,0.53,"10pcs/Set 3D Shoe Charms Set, Cute Transparent Resin Bear Cloud Shoes Charms, Diy Women Sandals Decorative Buckle Gifts",,,
200,3.5,0,"New Style Women's Beach Socks Shoes For Scuba Diving, Snorkeling, Water Trekking - Non-Slip, Cut-Proof, Barefoot Skin-Friendly",,,5
700,6.9,0.25,"Women's Quick-Dry Water Shoes For Casual Sports, Swimming, Beach, Hiking, Barefoot Skin-Friendly Socks Shoes, Plus Size Available",,,6
300,17.39,0.26,Women's Fashionable Outdoor Winter Boots In White,,,
,1.5,0.32,1pair Sponge Forefoot Cushion - Beige,6,in EVA Shoes,4
6300,18.41,0.21,"Women's Black High Heels Sandals, Square Toe Chunky Heels Dual-use Slippers, Soft Pu Leather, Comfortable & Versatile, Thick Heels For Height & Long Leg Appearance, Solid Color Slipper Shoes For Women",,,39
400,10.3,0.21,Women Fashionable Round Toe Foreign Trade Large Size Open Toe Letter Print Graffiti Blue Transparent Strap Beach Flat Slipper,,,
10000,12.2,0.18,Fashionable Women Casual Open-Toe Woven Straw Thick-Soled Wedge Sandals,,,18
300,8.9,0.21,Women Summer Beach Sandals Flat Open Toe Slippers,,,16
20,16.9,0.21,"Women's Colorful Casual Sports Shoes, Breathable Fashionable Running Shoes",,,
100,9.2,0.21,"2024 New Fashion Women's Flat Slipper, Outdoor Beach Wear Colorful Slipper, Flat Sandals For Women",,,
,12.6,0.18,Women Outdoor Wading Shoes Quick-Drying Sand Beach Shoes Anti-Slip Water Shoes For Stream Hiking Walking Fishing Swimming Lightweight Breathable Shoes,8,in Women Water Shoes,6
,13,0,CUCCOO EASI Woman Shoes Rhinestone Decor Single Band Slides For Summer Vacation Shoes Summer Sale,7,In Black Women Slides,5
,2.09,0.73,"Leopard Print Home Slippers For Women, All Seasons",8,In Hot Pink Women Shoes,
,25.5,0.11,"Women's Pointy Toe Fashionable Short Boots, Black, Autumn And Winter",,,
400,6.06,0.42,Newfor2024Women Double Strap Ankle Strap Espadrille Platform Wedge Sandals,,,
,17.7,0.21,"Women Hot Pink Minimalist Flatform Slide Sandals, Funky Sandals",4,In Hot Pink Women Platforms & Wedge Sandals,
,12.5,0.2,"Women's Open-Toe Metal Ornament Chunky Heel Platform Wedges, Plus Size",2,In Orange Women Platforms & Wedge Sandals,7
,20.5,0.21,"Fashionable Blue Women's High Heeled Sandals With Peep Toe, Stiletto Heel And Non-Slip Sole For Spring And Summer Parties",6,In Blue Women Heeled Sandals,15
,5.86,0.52,"Women Rhinestone Two-Strap Round Toe Flat Sandals, Fashionable And Elegant Colorful PU Leather Flat Sandals",3,In Champagne Women Sandals,
,9,0.2,"Women Graphic Print Buckle Decor Slide Sandals, Fashion Summer Flat Sandals",1,In Blue Women Sandals,8
,15,0.25,"CUCCOO CURVES Women's Wide Fit Fashionable Black Ankle Strap High Heel Sandals With Classic Design And Comfortable Buckle, Plus Size",1,In Black Wide Fit Sandals,
