selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,17.69,0.07,"SHEIN Swim Lushore Plus Size Color Block Polka Dot Printed Tankini Swimsuit With Floral Splice, Vacation Beachwear",6,In Elegant Women Plus Clothing,
2200,9.29,0.08,SHEIN LUNE Plus Paisley Print Butterfly Sleeve Blouse,,,
1700,13.79,0.06,SHEIN LUNE Plus Half Button Raglan Sleeve Drawstring Hooded Tee,,,6
1000,10.19,0.08,SHEIN LUNE Plus Size Summer Color-Block Patchwork And Random Print Batwing Sleeve Shirt With V-Neck,,,10
3100,4.01,0.57,SHEIN LUNE Plus Size Loose Round Neck Casual Basic Denim Look Blue Shirt With Drop Shoulders,,,
500,9.99,0.07,SHEIN Priv̩ Plus Size Women's Solid Color Simple Daily Summer Shirt,,,4
,51.09,0,Giffniseti Plus Size Women Ball Gown Dress Elegant Sequin Mesh Shawl Fish Tail Hem Dress For Prom,,,
500,10.25,0.37,SHEIN Clasi Plus Allover Print Roll Tab Sleeve Tunic Dress,,,7
500,14.29,0.1,"SHEIN Lady Plus Size American Flag Printed Sleeveless Tank Dress With Pockets, Long Floor-Length For Tall Women",,,
,9.49,0.12,SHEIN Essnce Plus Size Women's Fruit Print Round Neck Short Sleeve T-Shirt,1,In Pink Plus Size Tops,7
,14.29,0.07,SHEIN Essnce Plus Size Women Simple Printed Letter Pattern Round Neck Short Sleeve T-Shirt And Shorts Set,5,in Plus Size Two piece set,9
2100,7.97,0.27,SHEIN LUNE Plus Solid V Neck Tee,,,14
10,24.89,0.09,SHEIN MOD Apricot Mesh Embroidered Fabric Bowknot Strap Summer Vacation Style Short Dress,,,
2400,12.59,0.08,SHEIN Priv̩ Plus Contrast Mesh Puff Sleeve Tee,,,6
5000,25.29,0.07,SHEIN LUNE Plus Size Off-Shoulder Cropped Top And Wide Leg Pants Set,,,11
2800,14.69,0.08,SHEIN Swim Curve Summer Beach Plus Size Color Block Hollow Out Knit Cover Up,,,4
,50.79,0,Plus Size High Waist Sequin Patchwork Extra Long Evening Prom Dress,,,
,8.39,0.07,SHEIN LUNE Plus Size Sleeveless Round Neck Printed Tank Top For Summer Casual Outings,7,in Plus Size Tank Tops & Camis,
10,23.49,0.08,SHEIN Slayr SLAYR Plus - Elegant Women's Plus Size Colorful Printed A-Line Hollow Out Dress With Flower Patterns,,,
1300,19.09,0.08,SHEIN VCAY Plus Size Women Botanical Printed Dress With Floral Lace Cuffs,,,11
9300,9.4,0.09,SHEIN Essnce Plus Geo Print Tank Dress,,,6
800,9.05,0.26,SHEIN Essnce Plus Size Women's Summer Holiday Short Puff Sleeve Blouse With Notch V-Neckline And Random Floral Print,,,15
,15.39,0.07,SHEIN VCAY Plus Allover Floral Print Ruffle Hem Skirt,7,in Plus Size Skirts,
2200,8.71,0.2,SHEIN LUNE Plus Chain Print Batwing Sleeve Blouse,,,
300,11.69,0.09,SHEIN LUNE Plus Size Summer Casual Short-Sleeved Shirt With All Over Print And Notched Collar,,,12
700,15.19,0.07,"SHEIN LUNE Plus Size T-Shirt Zipper Polo Collar Tee With Black Trim & Waffle Pattern Design On Shoulders, Short Sleeves, Breathable And Stretchy Fabric",,,4
,13.99,0.06,SHEIN VCAY Women's Plus Size Casual Vacation Plant Printed Dress,6,in Long Dresses,12
2100,16.39,0.08,SHEIN VCAY Plus Size Hollow Out Dress With Twisted Knot And Small Floral Print,,,7
,11.39,0.07,SHEIN VCAY Plus Coconut Tree & Letter Graphic Summer Tank Dress,3,in Leisure holiday,4
10,20.39,0.09,"SHEIN MOD Pink Mesh Bodycon Dress With Ribbon Shoulder Straps For Summer,Midi Women Dresses,,Dresses Graduation,Formal Dresses Wedding,Plain Dresses",,,
,8.54,0.1,"SHEIN LUNE Plus Size Women Solid Color V-Neck Short Sleeve Casual T-Shirt, Summer",10,In Short Sleeve Plus Size Tops,
2300,10.45,0.21,SHEIN Slayr Plus Size Solid Color Short Sleeve And Shorts Slim Fit Two Piece Set For Summer,,,4
,7.97,0.1,SHEIN VCAY Plus Solid Eyelet Embroidery Curved Hem Cami Top,1,In Black Plus Size Tank Tops & Camis,10
1100,5.65,0.43,SHEIN Slayr Plus Size Casual Short Sleeve T-Shirt With Slogan Printing For Summer,,,
1400,8.85,0.17,SHEIN VCAY Plus Size Water Soluble Lace Splice Batwing Sleeve Shirt,,,12
,32.49,0,SHEIN Mulvari Plus Size Women's Random Printed Simple Daily Arabian Clothing,10,In White Plus Size Arabian Wear,
900,8.45,0.39,SHEIN LUNE Plus Size Vacation Casual Colorblocked Short Sleeve Striped Floral Dress,,,5
4700,20.04,0.13,SHEIN WYWH Plus Square Neck Puff Sleeve Layered Hem Dress,,,28
4200,8.64,0.12,SHEIN JORESS Plus Size Leisure Vacation Leopard Print Floral Ruffle Sleeve Shirt,,,9
2700,5.79,0.45,SHEIN LUNE Plus Allover Print Asymmetrical Neck Blouse,,,9
,11.49,0.12,"SHEIN Swim Vcay Plus Size Black One-Piece Swimsuit,Summer Beach",2,In Blue Plus Size One-Pieces,5
10,11.69,0.06,"SHEIN Essnce Women's Plus Size Round Neck Sheer Half Flare Sleeve Short White Dress, Suitable For Graduation Season, Parties, Fashion And Vacation",,,
800,19.59,0.08,SHEIN VCAY Plus Size Women Fashionable V-Neck Handbag Slit Floral Print Dress,,,
