selling_proposition,price,discount,goods_title,rank_title,rank_sub,color_count
,17.2,0.14,Young Girl 3pcs/Set Fashionable Cute Cartoon Unicorn & Rainbow Printed Short Sleeve T-Shirt And Leggings Set,,,
2600,5.8,0.16,SHEIN Young Girls' Striped Color Block Ruffle Trimmed Dress With Decorative Bow,,,4
700,5.8,0.06,"SHEIN Tween Girls' Black Stretchy Yoga Pants With Pockets, Elastic, Comfortable, Breathable And Moisture-wicking, Suitable For Sports Activities Like Running And Cycling",,,
3800,7.4,0.12,Girls' (Big) Knitted Flare Pants With Crossed Waistband Print Design,,,
2300,11.2,0.07,"SHEIN Tween Girl Spring Summer Boho Causal Ripped Roll Up Hem Denim Jeans Shorts,Summer Girls Clothes",5,in Tween Girls Clothing,
,1.68,0.33,"1pc Black PU Polyurethane Strap Glamorous Rhinestone Decor Round Dial Quartz Watch & 1pc Bracelet, For Daily Life",,,
,8.5,0.14,SHEIN Tween Girl Halter Top & Floral Print Belted Shorts,,,
10,9.4,0.14,"SHEIN 2pcs/Set Pure Color Casual Tween Girl Round Neck Top With Letter Print And Flower Decor, Spring",,,6
3900,10.2,0.07,SHEIN Tween Girl Casual Solid Color Simple Ruffled A-Line Skirted Leggings Sports Outfit,2,in Tween Girls Skirts,
2700,7.7,0.5,"1pair Girls' Embroidered Pearl Design Rural Style Shoes, Suitable For Spring And Autumn",,,
,8,0.15,SHEIN Young Girl Preppy Style Heart-Shaped Print Striped Trim Ribbed Collar Sleeveless Dress For Summer,4,in Young Girls Dresses,12
,7.8,0.06,SHEIN Teen Girl Letter Patched Detail Unitard Tank Romper,1,in Teen Girls Bodysuits & Jumpsuits,5
,2.7,0.07,2pcs Girls Heart Pattern Hair Bonnet,2,in Baby & Kids Hats,6
,7.39,0.11,SHEIN Tween Girl Solid Elastic Waist Shorts,1,in Tween Girls Activewear,4
,6.8,0.14,SHEIN Young Girl Spring And Autumn Casual Cute Cropped T-Shirt And Cami Jumpsuit Fashionable Two-Piece Suit,,,
,8.18,0.25,SHEIN Tween Girl Summer Casual Comfortable Solid Color Round Neck Short Sleeve T-Shirt Set Of 3,,,10
9400,6.65,0.18,SHEIN Young Girl Tie-Dye Relaxed Fit Round Neck T-Shirt And Shorts Set For Casual Wear,5,in Young Girls Sets,4
200,7.22,0.19,Young Girl's Unicorn Printed Rainbow Striped Short Sleeve T-Shirt And Shorts Set,,,
,14.1,0.13,SHEIN Tween Girl Casual Knit Round Neck Short Sleeve Two Piece Set,9,in Tween Girls Sets,8
8300,13.8,0.13,SHEIN Tween Girl Heart Print Cami Top & High Low Hem Top & Wide Leg Pants Set,,,4
,7.9,0.14,SHEIN Young Girl Heart Pattern Belted Asymmetrical Hem Plaid Dress,,,5
3100,11.2,0.14,SHEIN Teen Boy Casual Casual Comfortable Anime Print Short Sleeve Top And Shorts Two-Piece Set,,,
4800,9.88,0.19,SHEIN Young Boy Letter & Palm Tree Print Tee & Drawstring Waist Shorts,,,13
30,5,0.14,SHEIN Tween Girl Cool Street Style Short Sleeve Knitted Top With Ruched Detail For Spring And Summer,,,
7100,9.1,0.15,SHEIN Young Girl Figure Graphic Ruffle Trim Tee & Floral Print Mesh Overlay Belted Skirt,7,in Young Girls Sets,5
700,3.25,0.24,Young Boy Casual Cartoon Excavator Letter Print Round Neck Short Sleeve T-Shirt,,,4
,3.86,0.1,Young Girls' Summer Casual Slogan Printed Short Sleeve T-Shirt,3,in Young Girls T-Shirts,
